WSM_S006,39.428119,-0.313272
WSM_S007,39.4318351745606,-0.313526660203934
WSM_S008,39.4307899475098,-0.314065009355545
WSM_S009,39.4392738342285,-0.328560024499893
WSM_S010,39.4348106384277,-0.329716682434082
WSM_S011,39.4310264587402,-0.317738324403763
WSM_S012,39.4310073852539,-0.317965000867844
WSM_S013,39.4312973022461,-0.318870037794113
WSM_S014,39.435977935791,-0.330478310585022
WSM_S015,39.431640625,-0.320026695728302
WSM_S016,39.4319076538086,-0.320870012044907
WSM_S017,39.4330596923828,-0.324379980564117
WSM_S018,39.4334487915039,-0.325601667165756
WSM_S019,39.4340705871582,-0.32738834619522095
